City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Vao,NC,72.45,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
6,Faanui,PF,75.13,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Rikitea,PF,75.31,broken clouds,-23.12,-134.97,People ThankYou
20,Saint George,US,79.27,few clouds,37.1,-113.58,Best Western Plus Abbey Inn
25,Atuona,PF,77.5,light rain,-9.8,-139.03,Villa Enata
26,Avarua,CK,77.05,broken clouds,-21.21,-159.78,Paradise Inn
29,Lazaro Cardenas,MX,76.48,overcast clouds,17.96,-102.2,quinta antigua
46,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
56,Guerrero Negro,MX,70.02,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
59,Odweyne,SO,73.54,broken clouds,9.41,45.06,Eng Hiirey House
62,Salalah,OM,75.29,few clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
63,Labuan,MY,77.16,few clouds,5.28,115.24,Tiara Labuan Hotel
64,Puerto Ayora,EC,73.36,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
75,Santa Isabel Do Rio Negro,BR,76.86,overcast clouds,-0.41,-65.02,Hotel GSA
80,Saint-Philippe,RE,71.19,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
98,Avera,US,79.48,broken clouds,33.19,-82.53,
100,Victoria,HK,74.25,overcast clouds,22.29,114.16,Mini Hotel Central
103,Waddan,LY,72.54,clear sky,29.16,16.14,محل الشريف محمد العايب
106,Mocuba,MZ,75.92,light rain,-16.84,36.99,Phama Lodge
112,Dingle,PH,78.13,overcast clouds,11.0,122.67,SEGAYA PROPERTY
113,Cayenne,GF,77.09,light rain,4.93,-52.33,Hôtel Le Dronmi
125,Irituia,BR,77.43,heavy intensity rain,-1.77,-47.44,Hotel Victória
131,Sawtell,AU,71.62,overcast clouds,-30.38,153.1,Island Beach House Sawtell
137,Prado,BR,75.78,overcast clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
138,Riberalta,BO,73.6,overcast clouds,-10.98,-66.1,Hotel Colonial
139,San Cristobal,VE,77.18,overcast clouds,7.77,-72.22,Pirineos
143,Piacabucu,BR,77.36,clear sky,-10.41,-36.43,Piaçabuçu News
147,Tangwani,PK,70.59,clear sky,28.28,69.0,DURANI SAHAB
152,Raga,SS,74.89,overcast clouds,8.46,25.68,
155,Cururupu,BR,78.51,scattered clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
157,Ubaira,BR,71.28,overcast clouds,-13.27,-39.66,Grupo Navarro
163,Byron Bay,AU,71.71,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
165,La Union,PE,74.97,overcast clouds,-5.4,-80.75,Los Portales
166,Bambous Virieux,MU,71.85,broken clouds,-20.34,57.76,Casa Tia Villa
172,Sungairaya,ID,78.01,overcast clouds,0.7,108.9,Mess P.Milu
174,Mannarakkat,IN,76.55,broken clouds,10.98,76.47,The Park Residency
184,Quatre Cocos,MU,71.71,few clouds,-20.21,57.76,Sunrise Attitude Hotel
185,Mawlamyine,MM,73.72,scattered clouds,16.49,97.63,Sandalwood Hotel
197,Meulaboh,ID,74.66,overcast clouds,4.14,96.13,Kost Pria
206,Ambon,ID,78.94,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
212,Sesheke,ZM,76.08,light rain,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
229,Biak,ID,79.14,overcast clouds,-0.91,122.88,Penginapan Kim
231,Manta,EC,78.58,scattered clouds,-0.95,-80.73,Balandra Hotel
236,Cartagena Del Chaira,CO,78.26,light rain,1.33,-74.84,HOTEL LA ROCA
239,Amuntai,ID,75.54,scattered clouds,-2.42,115.25,Hotel Balqis
240,Vila Velha,BR,73.35,broken clouds,-20.33,-40.29,Quality Suites Vila Velha
245,Bandarbeyla,SO,76.28,scattered clouds,9.49,50.81,JABIR HOTEL
246,Adre,TD,76.91,broken clouds,13.47,22.2,
255,Yulara,AU,76.84,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
