City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Batsfjord,NO,70.63,29.72,32.07,87,99,21.32,light snow
1,Nome,US,64.50,-165.41,26.67,74,75,13.8,broken clouds
2,Flin Flon,CA,54.77,-101.86,44.44,65,75,14.97,broken clouds
3,Bluff,NZ,-46.60,168.33,54.72,86,76,7.34,broken clouds
4,Ushuaia,AR,-54.80,-68.30,35.26,87,40,20.71,light snow
5,Vao,NC,-22.67,167.48,72.45,69,42,13.4,scattered clouds
6,Faanui,PF,-16.48,-151.75,75.13,89,98,7.94,moderate rain
7,Manzhouli,CN,49.60,117.43,30.56,81,5,18.52,clear sky
8,Barabinsk,RU,55.36,78.36,42.8,82,100,8.39,light rain
9,Umm Kaddadah,SD,13.60,26.69,82.65,21,97,16.93,overcast clouds
10,Saint-Francois,FR,46.42,3.91,51.48,99,0,3.44,clear sky
11,Rikitea,PF,-23.12,-134.97,75.31,72,78,20.11,broken clouds
12,Bathsheba,BB,13.22,-59.52,83.01,69,20,23.02,few clouds
13,Ocote Paulino,HN,15.42,-87.60,88.0,82,37,4.92,scattered clouds
14,Cabo San Lucas,MX,22.89,-109.91,87.62,57,1,14.97,clear sky
15,Mandalgovi,MN,45.76,106.27,29.5,67,0,6.87,clear sky
16,Hammerfest,NO,70.66,23.68,28.85,80,40,8.05,scattered clouds
17,College,US,64.86,-147.80,30.58,91,90,0.0,overcast clouds
18,Ilulissat,GL,69.22,-51.10,15.82,67,0,1.14,clear sky
19,Ierapetra,GR,35.01,25.74,65.14,59,99,14.0,overcast clouds
20,Saint George,US,37.10,-113.58,79.27,25,20,11.99,few clouds
21,San Patricio,US,28.02,-97.52,91.81,63,94,12.3,overcast clouds
22,Busselton,AU,-33.65,115.33,49.95,78,98,2.19,overcast clouds
23,Ola,RU,59.58,151.28,26.69,76,99,2.66,overcast clouds
24,Yellowknife,CA,62.46,-114.35,42.42,94,90,9.22,overcast clouds
25,Atuona,PF,-9.80,-139.03,77.5,75,25,16.04,light rain
26,Avarua,CK,-21.21,-159.78,77.05,61,75,14.97,broken clouds
27,Hermanus,ZA,-34.42,19.23,60.8,85,50,14.7,scattered clouds
28,Bethel,US,41.37,-73.41,68.0,82,90,9.22,overcast clouds
29,Lazaro Cardenas,MX,17.96,-102.20,76.48,91,100,6.78,overcast clouds
30,Hasaki,JP,35.73,140.83,57.6,90,100,33.38,overcast clouds
31,Jasper,US,37.20,-94.35,60.35,72,40,1.01,scattered clouds
32,Cape Town,ZA,-33.93,18.42,63.88,63,0,1.99,clear sky
33,Barela,IN,23.10,80.05,65.95,61,2,0.96,clear sky
34,Asau,RO,46.43,26.40,33.76,68,0,2.48,clear sky
35,Chardara,KZ,41.25,67.97,55.0,33,54,4.21,broken clouds
36,Port Lincoln,AU,-34.73,135.87,66.88,44,100,18.72,overcast clouds
37,Mataura,NZ,-46.19,168.86,66.04,64,88,1.3,overcast clouds
38,Mar Del Plata,AR,-38.00,-57.56,62.62,59,0,5.01,clear sky
39,Codrington,AU,-38.27,141.97,53.76,60,35,9.17,scattered clouds
40,Ancud,CL,-41.87,-73.82,53.42,95,100,14.67,light rain
41,New Norfolk,AU,-42.78,147.06,53.65,46,21,1.66,few clouds
42,Bredasdorp,ZA,-34.53,20.04,60.28,88,34,6.91,scattered clouds
43,Acapulco,MX,16.86,-99.89,82.22,78,75,2.3,broken clouds
44,Punta Arenas,CL,-53.15,-70.92,42.91,65,75,10.36,broken clouds
45,Qandala,SO,11.47,49.87,80.28,64,37,2.19,scattered clouds
46,Vaini,TO,-21.20,-175.20,78.96,78,20,10.36,few clouds
47,Salamiyah,SY,35.01,37.05,63.1,62,74,3.71,broken clouds
48,Kochki,RU,54.34,80.48,43.52,63,100,9.75,overcast clouds
49,Port Elizabeth,ZA,-33.92,25.57,64.09,88,0,11.5,clear sky
50,Hobart,AU,-42.88,147.33,54.01,62,75,10.36,broken clouds
51,Fairbanks,US,64.84,-147.72,31.1,91,90,0.0,overcast clouds
52,Cidreira,BR,-30.18,-50.21,65.43,79,0,8.08,clear sky
53,Olinda,BR,-8.01,-34.86,82.13,65,40,11.5,scattered clouds
54,Pevek,RU,69.70,170.31,-0.83,95,100,4.47,overcast clouds
55,Sandane,NO,61.77,6.21,50.63,99,100,6.29,overcast clouds
56,Guerrero Negro,MX,27.98,-114.06,70.02,65,17,16.98,few clouds
57,Upernavik,GL,72.79,-56.15,15.26,60,13,5.82,few clouds
58,Imbituba,BR,-28.24,-48.67,69.69,83,0,12.17,clear sky
59,Odweyne,SO,9.41,45.06,73.54,48,75,2.93,broken clouds
60,Albany,US,42.60,-73.97,59.16,90,100,3.49,overcast clouds
61,Kibre Mengist,ET,5.88,38.98,54.63,96,79,1.81,broken clouds
62,Salalah,OM,17.02,54.09,75.29,73,20,3.44,few clouds
63,Labuan,MY,5.28,115.24,77.16,94,20,0.0,few clouds
64,Puerto Ayora,EC,-0.74,-90.35,73.36,94,58,4.0,broken clouds
65,Price,US,39.60,-110.81,64.72,39,1,4.61,clear sky
66,Khasan,RU,42.43,130.64,48.42,69,1,4.05,clear sky
67,Broome,US,42.25,-75.83,66.58,78,1,5.01,clear sky
68,Remanso,BR,-9.62,-42.08,84.88,52,39,3.18,scattered clouds
69,Rancho Palos Verdes,US,33.74,-118.39,61.0,94,90,5.99,light rain
70,Jamestown,US,42.10,-79.24,60.12,87,90,3.0,overcast clouds
71,Kununurra,AU,-15.77,128.73,80.58,78,73,2.3,broken clouds
72,Arraial Do Cabo,BR,-22.97,-42.03,69.76,88,90,4.61,overcast clouds
73,Lovington,US,32.94,-103.35,88.32,17,0,5.01,clear sky
74,Khatanga,RU,71.97,102.50,5.04,96,100,7.58,overcast clouds
75,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,76.86,91,85,1.39,overcast clouds
76,Severo-Kurilsk,RU,50.68,156.12,45.25,68,3,11.01,clear sky
77,Canaries,ES,28.00,-15.50,64.36,80,40,5.01,scattered clouds
78,Chapais,CA,49.78,-74.85,38.98,82,99,5.5,overcast clouds
79,Thompson,CA,55.74,-97.86,39.36,70,75,4.61,broken clouds
80,Saint-Philippe,RE,-21.36,55.77,71.19,82,41,12.84,scattered clouds
81,Kodiak,US,57.79,-152.41,44.11,70,75,12.66,broken clouds
82,Oudtshoorn,ZA,-33.59,22.20,53.96,88,7,1.34,clear sky
83,Ossora,RU,59.24,163.07,31.46,81,100,12.5,overcast clouds
84,Proletarsk,RU,46.70,41.72,33.75,62,19,5.23,few clouds
