City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Richards Bay,ZA,2021-10-19 18:15:17,-28.783,32.0377,59.77,73,32,3.74
1,Albany,US,2021-10-19 18:13:10,42.6001,-73.9662,63.45,49,7,7.0
2,Punta Arenas,CL,2021-10-19 18:11:09,-53.15,-70.9167,62.71,51,75,35.68
3,Atuona,PF,2021-10-19 18:10:31,-9.8,-139.0333,78.39,75,26,21.0
4,New Norfolk,AU,2021-10-19 18:14:15,-42.7826,147.0587,39.9,71,22,2.3
5,Jamestown,US,2021-10-19 18:12:47,42.097,-79.2353,65.52,51,1,8.99
6,Puerto Ayora,EC,2021-10-19 18:10:57,-0.7393,-90.3518,80.56,80,63,9.98
7,Acari,PE,2021-10-19 18:10:50,-15.4311,-74.6158,79.39,45,97,10.96
8,Isla Mujeres,MX,2021-10-19 18:15:19,21.2311,-86.731,87.85,69,98,11.7
9,Prince Rupert,CA,2021-10-19 18:15:20,54.3161,-130.3201,53.29,43,100,14.97
10,Eminabad,PK,2021-10-19 18:15:21,32.0422,74.2594,78.69,34,0,1.43
11,Vallenar,CL,2021-10-19 18:14:38,-28.5708,-70.7581,81.21,26,0,11.7
12,Mazagao,BR,2021-10-19 18:15:21,-0.115,-51.2894,96.85,43,42,7.0
13,Yulara,AU,2021-10-19 18:14:15,-25.2406,130.9889,71.44,28,21,0.0
14,Ushuaia,AR,2021-10-19 18:13:31,-54.8,-68.3,58.66,47,40,21.85
15,Flinders,AU,2021-10-19 18:11:54,-34.5833,150.8552,56.17,86,73,5.01
16,Rikitea,PF,2021-10-19 18:11:01,-23.1203,-134.9692,74.86,71,5,21.25
17,Leningradskiy,RU,2021-10-19 18:14:33,69.3833,178.4167,25.48,92,100,13.6
18,Nikolskoye,RU,2021-10-19 18:11:09,59.7035,30.7861,33.8,80,46,3.67
19,Cidreira,BR,2021-10-19 18:15:23,-30.1811,-50.2056,65.12,64,4,10.85
20,Qaanaaq,GL,2021-10-19 18:11:13,77.484,-69.3632,23.13,72,95,11.74
21,Upernavik,GL,2021-10-19 18:12:42,72.7868,-56.1549,34.54,73,100,18.59
22,Kaitangata,NZ,2021-10-19 18:11:43,-46.2817,169.8464,42.93,76,21,7.94
23,Belmonte,BR,2021-10-19 18:15:24,-15.8631,-38.8828,81.1,65,92,9.6
24,Vaini,TO,2021-10-19 18:10:58,-21.2,-175.2,71.76,88,40,8.05
25,Norman Wells,CA,2021-10-19 18:14:00,65.282,-126.8329,23.29,82,95,5.39
26,Kholodnyy,RU,2021-10-19 18:15:25,62.7167,147.95,-16.33,96,6,1.48
27,Manuk Mangkaw,PH,2021-10-19 18:15:25,4.8,119.85,83.35,75,100,7.78
28,College,US,2021-10-19 18:14:59,64.8569,-147.8028,31.66,73,90,3.44
29,Mataura,NZ,2021-10-19 18:10:50,-46.1927,168.8643,41.07,65,95,3.13
30,Bluff,NZ,2021-10-19 18:11:08,-46.6,168.3333,47.53,63,92,11.21
31,Cururupu,BR,2021-10-19 18:12:30,-1.8283,-44.8683,89.19,50,77,8.14
32,Ust-Uda,RU,2021-10-19 18:15:26,54.1742,103.0304,32.4,87,54,1.9
33,Kapaa,US,2021-10-19 18:11:07,22.0752,-159.319,75.18,86,20,12.66
34,Tiksi,RU,2021-10-19 18:12:09,71.6872,128.8694,17.8,96,100,7.18
35,Saint-Honore,CA,2021-10-19 18:15:27,48.5334,-71.0824,46.42,89,100,10.45
36,Chimore,BO,2021-10-19 18:15:28,-16.9833,-65.1333,78.08,57,100,2.28
37,Porto Santo,PT,2021-10-19 18:14:01,33.072,-16.3415,75.58,73,0,2.3
38,Busselton,AU,2021-10-19 18:12:37,-33.65,115.3333,54.09,74,100,23.47
39,Pevek,RU,2021-10-19 18:12:04,69.7008,170.3133,14.67,91,100,15.03
40,Corinth,GR,2021-10-19 18:15:29,37.9407,22.9573,66.88,73,9,4.32
41,Narsaq,GL,2021-10-19 18:13:39,60.9167,-46.05,38.26,47,10,1.74
42,Aykhal,RU,2021-10-19 18:10:54,66.0,111.5,30.56,96,100,19.64
43,Vila Franca Do Campo,PT,2021-10-19 18:11:19,37.7167,-25.4333,72.01,68,2,7.52
44,Abu Road,IN,2021-10-19 18:15:30,24.4833,72.7833,75.24,40,0,3.44
45,Cherskiy,RU,2021-10-19 18:13:37,68.75,161.3,-13.02,100,98,3.74
46,Maniitsoq,GL,2021-10-19 18:15:31,65.4167,-52.9,36.32,49,11,3.56
47,Hermanus,ZA,2021-10-19 18:10:25,-34.4187,19.2345,58.8,75,0,12.55
48,Fort Nelson,CA,2021-10-19 18:13:07,58.8053,-122.7002,33.26,67,70,1.83
49,Gari,RU,2021-10-19 18:15:32,59.4307,62.3497,39.18,77,100,7.56
50,Namatanai,PG,2021-10-19 18:12:37,-3.6667,152.4333,79.11,80,40,5.41
51,Cape Town,ZA,2021-10-19 18:11:24,-33.9258,18.4232,66.34,61,0,1.99
52,Lebu,CL,2021-10-19 18:12:05,-37.6167,-73.65,60.64,72,1,10.2
53,Nome,US,2021-10-19 18:15:33,64.5011,-165.4064,33.87,86,90,19.57
54,Ossora,RU,2021-10-19 18:15:36,59.2353,163.0719,22.98,54,21,8.77
55,Dongsheng,CN,2021-10-19 18:12:54,39.8161,109.9776,38.84,52,81,3.38
56,Hasaki,JP,2021-10-19 18:12:57,35.7333,140.8333,54.28,86,100,10.63
57,Barrow,US,2021-10-19 18:11:09,71.2906,-156.7887,21.22,68,90,16.11
58,Avarua,CK,2021-10-19 18:10:14,-21.2078,-159.775,69.85,94,75,1.14
59,Esperance,AU,2021-10-19 18:13:20,-33.8667,121.9,60.64,57,51,30.11
60,Lethem,GY,2021-10-19 18:15:38,3.3803,-59.7968,90.37,52,97,6.29
61,Faanui,PF,2021-10-19 18:13:47,-16.4833,-151.75,79.88,78,98,14.34
62,Along,IN,2021-10-19 18:15:38,28.1667,94.7667,71.17,99,100,1.21
63,Winnemucca,US,2021-10-19 18:15:39,40.973,-117.7357,48.25,71,1,4.61
64,Presidente Olegario,BR,2021-10-19 18:15:41,-18.4178,-46.4181,72.18,68,98,3.89
65,Cayenne,GF,2021-10-19 18:10:53,4.9333,-52.3333,87.84,76,75,1.99
66,Carnarvon,AU,2021-10-19 18:11:12,-24.8667,113.6333,66.27,63,90,11.5
67,Port Alfred,ZA,2021-10-19 18:15:42,-33.5906,26.891,60.89,74,0,13.44
68,Chuy,UY,2021-10-19 18:13:26,-33.6971,-53.4616,65.59,58,12,11.81
